iter	RMSE
0	360570.0431
1	315268.5718
2	281067.0556
3	255530.8366
4	235815.9406
5	222071.8796
6	213044.1269
7	205359.5628
8	199631.4156
9	195607.313
10	192594.2167
11	189611.7125
12	186991.1573
13	185947.1625
14	184611.0107
15	183676.657
16	183189.6412
17	182092.3494
18	181969.7853
19	181322.8927
20	179930.9481
21	179752.6639
22	179372.9747
23	178260.9074
24	177301.0159
25	176467.7874
26	175976.2264
27	175361.0805
28	175225.7874
29	174663.0186
30	174050.0016
31	173839.7203
32	173023.9293
33	172862.1747
34	172857.1893
35	172067.2211
36	171911.3043
37	171673.6275
38	171118.2267
39	170706.5689
40	170706.5614
41	170370.5307
42	169943.475
43	169562.0355
44	169216.7061
45	168919.415
46	168637.4975
47	168264.2394
48	168246.3178
49	167787.8297
50	167218.5824
51	166931.4053
52	166523.3765
53	166276.206
54	165923.2359
55	165641.408
56	165227.221
57	164823.9684
58	164577.7496
59	163949.1689
60	163123.5532
61	162942.8164
62	162524.977
63	162236.0169
64	161868.9121
65	161391.2666
66	161143.401
67	160454.0468
68	159810.7042
69	159275.9564
70	158694.2057
71	158396.2909
72	157929.9334
73	157701.5012
74	157427.0668
75	156981.9562
76	156573.5986
77	156384.4241
78	156118.1704
79	155891.3299
80	155530.7242
81	155411.3284
82	154970.5189
83	154715.2717
84	154451.9846
85	154290.3378
86	154200.4467
87	153858.5248
88	153503.6568
89	153126.3667
90	153023.8936
91	152647.6903
92	152229.6797
93	151785.9662
94	151522.3584
95	151205.3024
96	150850.7907
97	150610.5857
98	150386.8277
99	150172.0085
100	149817.2415
101	149758.7337
102	149303.7354
103	149078.5969
104	148835.848
105	148598.7252
106	148220.3505
107	147963.2778
108	147780.7507
109	147489.1091
110	147302.8537
111	147065.2746
112	146850.5149
113	146550.8789
114	146352.0328
115	146139.8877
116	146037.7733
117	145753.4685
118	145594.365
119	145414.8827
120	145178.2513
121	144986.5299
122	144775.8299
123	144602.0478
124	144392.0659
125	144208.6466
126	143997.3816
127	143742.5571
128	143666.0835
129	143481.5153
130	143345.6648
131	143192.3867
132	142977.5422
133	142711.7428
134	142399.2937
135	142259.8823
136	142040.6254
137	141781.7324
138	141617.0562
139	141407.6891
140	141247.5323
141	141173.4456
142	140950.8073
143	140655.2582
144	140452.573
145	140269.7523
146	140076.3297
147	140014.6791
148	139951.0022
149	139830.1036
150	139698.6586
151	139647.6938
152	139377.0229
153	139172.0277
154	139037.5733
155	138891.5907
156	138710.2607
157	138591.7542
158	138545.6547
159	138394.3815
160	138156.2973
161	138036.3054
162	137969.9921
163	137765.2981
