iter	Passed	Remaining
0	517	361471
1	541	188972
2	1015	235911
3	1486	258616
4	1957	272051
5	2434	281537
6	2450	242643
7	2933	253783
8	3368	258592
9	3832	264414
10	4291	268795
11	4756	272722
12	5227	276240
13	5244	256967
14	5723	261374
15	6188	264555
16	6229	250260
17	6696	253729
18	6703	240252
19	6937	235875
20	7400	239280
21	7423	228763
22	7465	219755
23	7938	223605
24	8407	226998
25	8863	229776
26	8929	222580
27	9391	225398
28	9406	217649
29	9860	220222
30	10324	222815
31	10390	216911
32	10856	219424
33	10871	212948
34	10878	206696
35	11345	209253
36	11383	203981
37	11503	200397
38	11967	202830
39	12452	205465
40	12457	200233
41	12936	202665
42	13417	205006
43	13890	207102
44	14356	208973
45	14823	210758
46	14944	207636
47	15414	209386
48	15423	204915
49	15882	206466
50	16339	207932
51	16810	209485
52	17268	210809
53	17727	212075
54	18188	213296
55	18652	214506
56	19126	215755
57	19594	216892
58	20056	217898
59	20513	218811
60	20984	219818
61	21455	220785
62	21914	221580
63	22383	222440
64	22846	223196
65	23301	223839
66	23767	224550
67	24225	225150
68	24687	225767
69	25160	226444
70	25628	227050
71	26086	227531
72	26556	228094
73	27027	228635
74	27489	229080
75	27956	229541
76	28414	229901
77	28876	230272
78	29341	230646
79	29805	230990
80	30258	231234
81	30728	231589
82	31192	231877
83	31614	231838
84	32093	232208
85	32608	232812
86	33082	233095
87	33540	233260
88	34020	233553
89	34494	233796
90	34953	233920
91	35417	234063
92	35890	234252
93	36359	234400
94	36821	234497
95	37286	234594
96	37755	234704
97	38229	234837
98	38692	234890
99	39157	234943
100	39614	234944
101	40077	234965
102	40549	235030
103	41014	235045
104	41481	235060
105	41945	235053
106	42411	235046
107	42875	235020
108	43339	234985
109	43814	235005
110	44271	234918
111	44734	234854
112	45191	234758
113	45656	234692
114	46122	234622
115	46597	234596
116	47057	234481
117	47519	234374
118	47989	234299
119	48451	234182
120	48936	234167
121	49401	234052
122	49871	233948
123	50338	233831
124	50805	233707
125	51272	233576
126	51747	233473
127	52209	233311
128	52671	233144
129	53147	233029
130	53621	232904
131	54087	232741
132	54552	232564
133	55015	232378
134	55487	232224
135	55956	232055
136	56422	231866
137	56887	231670
138	57350	231464
139	57834	231337
140	58300	231136
141	58759	230899
142	59223	230683
143	59686	230455
144	60151	230236
145	60611	229991
146	61068	229732
147	61539	229523
148	62012	229322
149	62482	229103
150	62947	228863
151	63413	228622
152	63865	228330
