ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
320731003,cian.ru,Зябликово,38.0,14.0,3610.0,0.0,123.5,8176.0,6091.0,1557.0,1713.0,3.0,3.0,4.0,13.0,0.0,1.0,0.0,0.0,10.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,281700.0,157.0,61.0,14703.0,0.0,396.1428571428572,8176,6091,1557,1713,3.0,6.0,16.0,23.0,1.0,1.0,10.0,0.0,32.0,12.0,11.0,6.0,1.0,0.0,2.0,1.0,32.0,8.0,8.0,7.0,0.0,0.0,3.0,7.0,11.0,8.0,1.0
321876001,cian.ru,Хорошевский,54.0,15.0,1287.0,0.0,82.66666666666667,9392.0,38428.0,1513.0,11424.0,4.0,4.0,7.0,15.0,0.0,0.0,2.0,0.0,11.0,0.0,1.0,1.0,5.0,1.0,1.0,4.0,6.0,1.0,8.0,1.0,0.0,0.0,6.0,13.0,9.0,1.0,1.0,443000.0,253.0,60.0,6723.0,0.0,331.6363636363636,9392,38428,1513,11424,12.0,9.0,23.0,35.0,0.0,3.0,8.0,0.0,31.0,4.0,4.0,3.0,25.0,4.0,1.0,8.0,25.0,3.0,12.0,9.0,0.0,0.0,10.0,34.0,30.0,5.0,2.0
322186790,cian.ru,Таганский,44.0,22.0,3234.0,9.0,178.2,8304.0,19462.0,2032.0,6787.0,7.0,5.0,11.0,22.0,0.0,2.0,8.0,0.0,13.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,10.0,3.0,5.0,3.0,0.0,0.0,4.0,10.0,9.0,2.0,0.0,433700.0,223.0,97.0,11480.0,9.0,396.8518518518519,8304,19462,2032,6787,43.0,11.0,25.0,77.0,4.0,10.0,19.0,0.0,30.0,7.0,7.0,6.0,3.0,0.0,5.0,7.0,36.0,10.0,17.0,15.0,0.0,1.0,11.0,29.0,29.0,10.0,2.0
321392086,cian.ru,Бутово Южное,23.0,8.0,1831.0,10.0,10.0,4194.0,4593.0,2101.0,3820.0,3.0,4.0,2.0,10.0,0.0,3.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,259700.0,107.0,47.0,8230.0,10.0,386.5,4194,4593,2101,3820,16.0,11.0,8.0,38.0,0.0,5.0,9.0,0.0,17.0,9.0,8.0,7.0,0.0,0.0,2.0,1.0,34.0,1.0,6.0,3.0,0.0,1.0,4.0,7.0,9.0,5.0,0.0
324943206,cian.ru,Останкинский,46.0,30.0,3647.0,4.0,117.0,7146.0,24972.0,4008.0,17350.0,14.0,6.0,13.0,29.0,0.0,0.0,7.0,0.0,12.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,9.0,1.0,5.0,5.0,0.0,0.0,6.0,13.0,18.0,1.0,1.0,380300.0,216.0,77.0,10614.0,4.0,398.7,7146,24972,4008,17350,28.0,16.0,22.0,49.0,1.0,6.0,13.0,0.0,42.0,4.0,11.0,3.0,10.0,0.0,2.0,6.0,25.0,6.0,8.0,15.0,0.0,1.0,16.0,27.0,29.0,10.0,2.0
3087407798127159808,realty.yandex.ru,Соколиная Гора,109.0,5.0,259.0,0.0,180.0,4940.0,91013.0,1362.0,17507.0,7.0,4.0,8.0,27.0,0.0,5.0,5.0,0.0,10.0,4.0,8.0,0.0,0.0,0.0,4.0,6.0,8.0,3.0,9.0,8.0,0.0,0.0,20.0,14.0,37.0,1.0,0.0,354400.0,351.0,45.0,4100.0,0.0,350.75,4940,91013,1362,17507,23.0,10.0,14.0,53.0,1.0,8.0,7.0,0.0,28.0,12.0,10.0,3.0,8.0,1.0,4.0,25.0,18.0,10.0,13.0,9.0,0.0,0.0,34.0,27.0,47.0,5.0,0.0
323343779,cian.ru,Соколиная Гора,99.0,7.0,277.0,11.0,175.6153846153846,936.0,20189.0,783.0,13137.0,6.0,2.0,11.0,30.0,0.0,3.0,2.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,6.0,4.0,13.0,4.0,5.0,6.0,3.0,0.0,10.0,21.0,31.0,0.0,2.0,354400.0,333.0,33.0,2755.0,11.0,362.3703703703704,936,20189,783,13137,21.0,5.0,26.0,61.0,1.0,8.0,5.0,0.0,36.0,10.0,9.0,0.0,13.0,1.0,6.0,15.0,26.0,8.0,10.0,13.0,3.0,1.0,31.0,34.0,46.0,3.0,2.0
325163145,cian.ru,Дмитровский,38.0,12.0,1274.0,20.0,136.25,6788.0,35136.0,1850.0,16178.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,288000.0,83.0,29.0,3738.0,20.0,326.42857142857144,6788,35136,1850,16178,2.0,1.0,7.0,7.0,0.0,1.0,2.0,0.0,9.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,8.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0
322763549,cian.ru,Соколиная Гора,109.0,5.0,259.0,0.0,179.97297297297297,4940.0,91013.0,1362.0,17507.0,7.0,4.0,8.0,27.0,0.0,5.0,5.0,0.0,10.0,4.0,8.0,0.0,0.0,0.0,4.0,6.0,8.0,3.0,9.0,8.0,0.0,0.0,20.0,14.0,38.0,1.0,0.0,354400.0,351.0,45.0,4100.0,0.0,350.7395833333333,4940,91013,1362,17507,23.0,10.0,14.0,53.0,1.0,8.0,7.0,0.0,28.0,12.0,10.0,3.0,8.0,1.0,4.0,25.0,18.0,10.0,13.0,9.0,0.0,0.0,34.0,27.0,47.0,5.0,0.0
8427502013113704448,realty.yandex.ru,Обручевский,32.0,3.0,826.0,0.0,172.66666666666666,3744.0,32124.0,301.0,4752.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,411600.0,114.0,19.0,4379.0,0.0,319.1904761904762,3744,32124,301,4752,9.0,6.0,6.0,13.0,0.0,7.0,2.0,0.0,13.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,11.0,3.0,5.0,4.0,0.0,0.0,13.0,15.0,28.0,8.0,1.0
324229431,cian.ru,Красносельский,101.0,26.0,1461.0,16.0,165.08,1246.0,18559.0,783.0,14177.0,22.0,4.0,5.0,43.0,0.0,3.0,1.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,12.0,2.0,0.0,0.0,12.0,12.0,23.0,2.0,1.0,454800.0,434.0,137.0,5078.0,16.0,369.375,1246,18559,783,14177,43.0,18.0,11.0,110.0,0.0,12.0,6.0,0.0,24.0,10.0,9.0,2.0,3.0,0.0,0.0,16.0,9.0,2.0,23.0,6.0,0.0,1.0,37.0,45.0,74.0,12.0,4.0
322887675,cian.ru,Таганский,82.0,25.0,2440.0,0.0,153.88888888888889,618.0,13066.0,1430.0,9839.0,9.0,5.0,7.0,44.0,4.0,5.0,6.0,0.0,7.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,8.0,3.0,4.0,4.0,0.0,0.0,6.0,13.0,13.0,4.0,0.0,433700.0,272.0,68.0,7626.0,0.0,366.9423076923077,618,13066,1430,9839,43.0,17.0,37.0,113.0,5.0,13.0,15.0,0.0,31.0,5.0,9.0,3.0,6.0,0.0,6.0,10.0,37.0,5.0,18.0,14.0,1.0,9.0,20.0,30.0,48.0,13.0,3.0
325172814,cian.ru,Перово ,42.0,1.0,65.0,23.0,139.75,376.0,7145.0,327.0,6053.0,2.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,15.0,0.0,1.0,294700.0,123.0,13.0,857.0,23.0,322.6428571428572,376,7145,327,6053,6.0,3.0,8.0,17.0,0.0,0.0,3.0,0.0,8.0,2.0,2.0,0.0,1.0,1.0,1.0,5.0,8.0,3.0,5.0,0.0,0.0,2.0,8.0,9.0,21.0,1.0,1.0
323174697,cian.ru,Тверской,142.0,26.0,1025.0,0.0,178.2051282051282,4208.0,45369.0,1786.0,10118.0,16.0,14.0,18.0,90.0,0.0,5.0,2.0,0.0,16.0,3.0,1.0,1.0,0.0,0.0,1.0,11.0,13.0,1.0,9.0,6.0,0.0,0.0,20.0,25.0,69.0,2.0,1.0,609300.0,443.0,101.0,5180.0,0.0,326.7088607594937,4208,45369,1786,10118,52.0,26.0,30.0,165.0,3.0,12.0,9.0,0.0,55.0,10.0,9.0,7.0,22.0,1.0,1.0,19.0,24.0,5.0,22.0,17.0,2.0,1.0,42.0,65.0,165.0,4.0,4.0
4037572671515146240,realty.yandex.ru,Соколиная Гора,66.0,7.0,310.0,42.0,192.8,2760.0,17086.0,885.0,15514.0,4.0,1.0,7.0,16.0,0.0,1.0,3.0,0.0,17.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,6.0,3.0,5.0,5.0,0.0,0.0,9.0,8.0,35.0,0.0,0.0,354400.0,312.0,47.0,4765.0,42.0,386.89156626506025,2760,17086,885,15514,16.0,9.0,13.0,46.0,2.0,8.0,7.0,0.0,29.0,11.0,13.0,3.0,5.0,1.0,4.0,25.0,18.0,9.0,15.0,10.0,0.0,3.0,30.0,32.0,41.0,4.0,0.0
324927913,cian.ru,Даниловский,42.0,7.0,1250.0,0.0,198.1764705882353,830.0,61224.0,2068.0,23826.0,12.0,1.0,17.0,30.0,0.0,2.0,6.0,0.0,24.0,9.0,0.0,1.0,1.0,0.0,4.0,9.0,22.0,2.0,9.0,5.0,0.0,2.0,14.0,47.0,53.0,0.0,3.0,399100.0,190.0,42.0,5226.0,0.0,291.07142857142856,830,61224,2068,23826,26.0,6.0,27.0,57.0,0.0,2.0,9.0,0.0,30.0,16.0,4.0,3.0,4.0,0.0,4.0,13.0,30.0,5.0,15.0,11.0,0.0,5.0,21.0,72.0,68.0,5.0,6.0
7535326093,avito.ru,Рязанский,41.0,12.0,1362.0,33.0,166.14285714285714,7106.0,7934.0,1456.0,3735.0,1.0,1.0,3.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,295600.0,175.0,84.0,12218.0,33.0,335.72222222222223,7106,7934,1456,3735,8.0,4.0,12.0,25.0,0.0,5.0,10.0,0.0,17.0,7.0,0.0,5.0,0.0,1.0,2.0,2.0,27.0,6.0,2.0,4.0,0.0,3.0,10.0,13.0,21.0,5.0,3.0
325281282,cian.ru,Обручевский,32.0,3.0,826.0,0.0,172.77777777777777,3744.0,32124.0,301.0,4752.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,411600.0,114.0,19.0,4379.0,0.0,319.3809523809524,3744,32124,301,4752,9.0,6.0,6.0,13.0,0.0,7.0,2.0,0.0,13.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,11.0,3.0,5.0,4.0,0.0,0.0,13.0,15.0,28.0,8.0,1.0
320774957,cian.ru,Тверской,145.0,27.0,1025.0,0.0,176.25641025641025,4208.0,45369.0,1185.0,15043.0,17.0,13.0,18.0,86.0,0.0,5.0,2.0,0.0,16.0,3.0,1.0,1.0,0.0,0.0,1.0,11.0,13.0,1.0,9.0,6.0,0.0,0.0,19.0,25.0,70.0,2.0,1.0,609300.0,446.0,105.0,5404.0,0.0,323.1518987341772,4208,45369,1185,15043,52.0,27.0,30.0,170.0,3.0,12.0,8.0,0.0,55.0,11.0,9.0,7.0,22.0,1.0,1.0,19.0,24.0,5.0,22.0,17.0,3.0,1.0,43.0,65.0,165.0,5.0,4.0
324924802,cian.ru,Нагатино-Садовники,47.0,5.0,,0.0,193.4,4280.0,22811.0,478.0,17607.0,3.0,0.0,6.0,7.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,2.0,4.0,3.0,0.0,0.0,5.0,7.0,11.0,0.0,0.0,353800.0,218.0,8.0,192.0,0.0,382.3050847457627,4280,22811,478,17607,4.0,0.0,8.0,10.0,1.0,2.0,2.0,0.0,21.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0,9.0,4.0,8.0,5.0,0.0,0.0,10.0,15.0,20.0,1.0,1.0
6819069281515114496,realty.yandex.ru,Басманный,106.0,30.0,676.0,2.0,196.625,4398.0,43919.0,767.0,12643.0,12.0,6.0,5.0,25.0,0.0,2.0,3.0,0.0,7.0,2.0,2.0,0.0,6.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,2.0,4.0,17.0,25.0,2.0,1.0,461200.0,622.0,220.0,5083.0,2.0,435.2909090909091,4398,43919,767,12643,95.0,27.0,21.0,163.0,0.0,21.0,11.0,0.0,22.0,10.0,8.0,1.0,11.0,0.0,0.0,14.0,9.0,3.0,16.0,6.0,0.0,4.0,28.0,48.0,131.0,9.0,2.0
5227593921579746304,realty.yandex.ru,Нагатино-Садовники,47.0,5.0,,2.0,193.13333333333333,4280.0,22811.0,478.0,17607.0,3.0,0.0,6.0,7.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,2.0,4.0,3.0,0.0,0.0,5.0,7.0,11.0,0.0,0.0,353800.0,218.0,8.0,192.0,2.0,381.864406779661,4280,22811,478,17607,4.0,0.0,8.0,10.0,1.0,2.0,2.0,0.0,21.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0,9.0,4.0,8.0,5.0,0.0,0.0,10.0,15.0,20.0,1.0,1.0
320988522,cian.ru,Тверской,136.0,30.0,1343.0,4.0,173.09375,2384.0,22957.0,1432.0,9218.0,16.0,13.0,12.0,76.0,0.0,2.0,2.0,0.0,12.0,2.0,2.0,1.0,0.0,0.0,0.0,8.0,10.0,0.0,9.0,4.0,0.0,0.0,18.0,15.0,51.0,1.0,1.0,609300.0,414.0,116.0,6767.0,4.0,319.2,2384,22957,1432,9218,56.0,25.0,33.0,166.0,1.0,12.0,11.0,0.0,54.0,12.0,10.0,5.0,14.0,1.0,1.0,18.0,30.0,4.0,21.0,16.0,2.0,1.0,40.0,60.0,165.0,5.0,5.0
324039605,cian.ru,Басманный,106.0,32.0,671.0,13.0,177.78571428571428,4398.0,43919.0,767.0,12643.0,12.0,6.0,4.0,23.0,0.0,2.0,2.0,0.0,7.0,3.0,2.0,0.0,6.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,4.0,15.0,24.0,1.0,1.0,461200.0,619.0,217.0,4848.0,13.0,431.2,4398,43919,767,12643,94.0,27.0,21.0,164.0,0.0,21.0,11.0,0.0,23.0,11.0,7.0,1.0,14.0,0.0,0.0,14.0,9.0,3.0,15.0,7.0,0.0,5.0,25.0,44.0,134.0,10.0,2.0
