ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
2361982363910666240,realty.yandex.ru,Ломоносовский,39.0,25.0,2908.0,21.0,205.5,904,14954,1522,16449,418300.0,184.0,92.0,10458.0,21.0,360.1818181818182,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324514270,cian.ru,Ломоносовский,40.0,26.0,3121.0,0.0,167.33333333333334,904,14954,1522,16449,418300.0,188.0,93.0,10640.0,0.0,358.54545454545456,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323292280,cian.ru,Ломоносовский,40.0,26.0,3121.0,0.0,167.33333333333334,904,14954,1522,16449,418300.0,188.0,93.0,10640.0,0.0,358.54545454545456,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319684273,cian.ru,Бибирево,32.0,15.0,3884.0,,,2052,2578,3431,2210,271300.0,124.0,58.0,13906.0,478.0,536.75,2052,2578,3431,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051474308312615936,realty.yandex.ru,Ломоносовский,39.0,25.0,2908.0,21.0,205.5,904,14954,1522,16449,418300.0,184.0,92.0,10458.0,21.0,360.1818181818182,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8660284132700797952,realty.yandex.ru,Солнцево,23.0,1.0,79.0,,,4,6401,4425,5668,284300.0,87.0,28.0,5740.0,,,4,6401,4425,5668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962878261589281792,realty.yandex.ru,Ломоносовский,39.0,25.0,2908.0,21.0,205.5,904,14954,1522,16449,418300.0,184.0,92.0,10458.0,21.0,360.1818181818182,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319583252,cian.ru,Коньково,33.0,5.0,932.0,29.0,124.0,110,4513,987,2905,351300.0,139.0,29.0,4867.0,29.0,300.875,110,4513,987,2905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965285094499829760,realty.yandex.ru,Коммунарка,3.0,,,0.0,158.66666666666666,0,1225,0,551,291400.0,4.0,,,0.0,158.66666666666666,0,1225,0,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321147856,cian.ru,Тропарево-Никулино,10.0,4.0,506.0,,,2,90,50,45,399700.0,50.0,17.0,3013.0,,,2,90,50,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967137546321484800,realty.yandex.ru,Печатники,17.0,9.0,1777.0,0.0,0.0,322,2770,1410,1651,286900.0,80.0,43.0,8843.0,0.0,404.1666666666667,322,2770,1410,1651,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,2.0,7.0,0.0,25.0,7.0,4.0,6.0,0.0,0.0,1.0,1.0,23.0,4.0,3.0,6.0,0.0,0.0,3.0,8.0,5.0,4.0,0.0
320724231,cian.ru,Лефортово,83.0,,,0.0,185.75,4,15885,1184,1724,279300.0,322.0,21.0,1660.0,0.0,366.14814814814815,4,15885,1184,1724,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,9.0,1.0,4.0,1.0,0.0,4.0,3.0,0.0,17.0,4.0,6.0,1.0,2.0,0.0,1.0,4.0,6.0,6.0,3.0,3.0,0.0,0.0,9.0,6.0,9.0,0.0,0.0
324672213,cian.ru,Бирюлево Восточное,34.0,11.0,4620.0,,,2510,1910,3910,3508,263200.0,147.0,49.0,13866.0,314.0,417.0,2510,1910,3910,3508,2.0,2.0,3.0,7.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,5.0,3.0,15.0,24.0,0.0,2.0,13.0,0.0,21.0,15.0,5.0,10.0,0.0,0.0,1.0,2.0,34.0,6.0,5.0,5.0,0.0,1.0,3.0,10.0,8.0,8.0,1.0
