ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
320731003,cian.ru,Зябликово,38,14.0,3610.0,0,123.5,8176,6091,1557,1713,3,3,4,13,0,1,0,0,10,3,2,3,0,0,0,1,8,0,1,2,0,0,0,1,1,3,0,281700,157,61.0,14703.0,0,396.14285714285717,8176,6091,1557,1713,3,6,16,23,1,1,10,0,32,12,11,6,1,0,2,1,32,8,8,7,0,0,3,7,11,8,1
321876001,cian.ru,Хорошевский,54,15.0,1287.0,0,82.66666666666667,9392,38428,1513,11424,4,4,7,15,0,0,2,0,11,0,1,1,5,1,1,4,6,1,8,1,0,0,6,13,9,1,1,443000,253,60.0,6723.0,0,331.6363636363636,9392,38428,1513,11424,12,9,23,35,0,3,8,0,31,4,4,3,25,4,1,8,25,3,12,9,0,0,10,34,30,5,2
322186790,cian.ru,Таганский,44,22.0,3234.0,9,178.2,8304,19462,2032,6787,7,5,11,22,0,2,8,0,13,3,2,1,1,0,2,1,10,3,5,3,0,0,4,10,9,2,0,433700,223,97.0,11480.0,9,396.85185185185185,8304,19462,2032,6787,43,11,25,77,4,10,19,0,30,7,7,6,3,0,5,7,36,10,17,15,0,1,11,29,29,10,2
321392086,cian.ru,Бутово Южное,23,8.0,1831.0,10,10.0,4194,4593,2101,3820,3,4,2,10,0,3,4,0,2,2,2,0,0,0,0,1,3,0,1,0,0,0,1,1,2,1,0,259700,107,47.0,8230.0,10,386.5,4194,4593,2101,3820,16,11,8,38,0,5,9,0,17,9,8,7,0,0,2,1,34,1,6,3,0,1,4,7,9,5,0
324943206,cian.ru,Останкинский,46,30.0,3647.0,4,117.0,7146,24972,4008,17350,14,6,13,29,0,0,7,0,12,2,1,2,0,0,1,1,9,1,5,5,0,0,6,13,18,1,1,380300,216,77.0,10614.0,4,398.7,7146,24972,4008,17350,28,16,22,49,1,6,13,0,42,4,11,3,10,0,2,6,25,6,8,15,0,1,16,27,29,10,2
3087407798127159808,realty.yandex.ru,Соколиная Гора,109,5.0,259.0,0,180.0,4940,91013,1362,17507,7,4,8,27,0,5,5,0,10,4,8,0,0,0,4,6,8,3,9,8,0,0,20,14,37,1,0,354400,351,45.0,4100.0,0,350.75,4940,91013,1362,17507,23,10,14,53,1,8,7,0,28,12,10,3,8,1,4,25,18,10,13,9,0,0,34,27,47,5,0
323343779,cian.ru,Соколиная Гора,99,7.0,277.0,11,175.6153846153846,936,20189,783,13137,6,2,11,30,0,3,2,0,10,0,0,0,4,0,6,4,13,4,5,6,3,0,10,21,31,0,2,354400,333,33.0,2755.0,11,362.3703703703704,936,20189,783,13137,21,5,26,61,1,8,5,0,36,10,9,0,13,1,6,15,26,8,10,13,3,1,31,34,46,3,2
325163145,cian.ru,Дмитровский,38,12.0,1274.0,20,136.25,6788,35136,1850,16178,1,1,3,3,0,1,2,0,8,2,1,1,0,0,0,1,2,0,1,0,0,0,1,2,2,0,0,288000,83,29.0,3738.0,20,326.42857142857144,6788,35136,1850,16178,2,1,7,7,0,1,2,0,9,4,4,3,0,0,0,1,8,2,2,1,0,0,1,2,4,0,1
322763549,cian.ru,Соколиная Гора,109,5.0,259.0,0,179.97297297297297,4940,91013,1362,17507,7,4,8,27,0,5,5,0,10,4,8,0,0,0,4,6,8,3,9,8,0,0,20,14,38,1,0,354400,351,45.0,4100.0,0,350.7395833333333,4940,91013,1362,17507,23,10,14,53,1,8,7,0,28,12,10,3,8,1,4,25,18,10,13,9,0,0,34,27,47,5,0
8427502013113704448,realty.yandex.ru,Обручевский,32,3.0,826.0,0,172.66666666666666,3744,32124,301,4752,6,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1,1,1,0,0,0,3,2,2,0,0,411600,114,19.0,4379.0,0,319.1904761904762,3744,32124,301,4752,9,6,6,13,0,7,2,0,13,2,1,1,0,0,1,4,11,3,5,4,0,0,13,15,28,8,1
