iter	RMSE
0	1364223.692
1	1316269.155
2	1267541.292
3	1220112.059
4	1176601.795
5	1136440.513
6	1101214.232
7	1065095.848
8	1030968.865
9	1002170.914
10	977720.8043
11	950255.3857
12	924002.5321
13	899906.2357
14	878796.6331
15	859025.8012
16	840607.8434
17	823503.7268
18	806081.6798
19	791036.6446
20	776467.838
21	763447.7094
22	750469.1262
23	738727.7641
24	727362.9754
25	716605.1229
26	707287.8192
27	698778.6397
28	690313.7225
29	682330.5076
30	674941.7292
31	668039.2912
32	661411.2955
33	655779.1118
34	650224.1284
35	644841.0836
36	640242.255
37	636041.133
38	631621.6211
39	627101.4698
40	622853.9122
41	619640.1411
42	616116.9135
43	613124.066
44	610141.6551
45	606957.6062
46	603917.2572
47	600765.3557
48	598046.5455
49	595900.5951
50	592734.8775
51	590388.2155
52	588216.0902
53	585608.5339
54	583691.1203
55	581290.4274
56	578220.4579
57	576789.6753
58	574873.1485
59	573338.6145
60	571696.0796
61	569602.4173
62	567228.2085
63	564685.0673
64	563028.4253
65	561985.1198
66	561008.1215
67	559420.9583
68	557971.6071
69	556691.5384
70	555713.6102
71	554108.2746
72	553139.0513
73	551684.8484
74	549978.8698
75	548840.239
76	547667.4612
77	546202.2723
78	545439.5559
79	544203.0265
80	542549.1166
81	541833.0477
82	541022.0906
83	540068.8906
84	539225.6367
85	538286.5903
86	536896.6444
87	535933.5009
88	534903.4331
89	533694.673
90	533282.4312
91	531765.6458
92	531189.7987
93	530170.5702
94	529747.0293
95	528440.1015
96	527514.5086
97	526484.2527
98	525718.4499
99	525027.1728
100	524351.4197
101	523316.16
102	522414.8019
103	521687.6216
104	520055.4631
105	519246.8977
106	518457.1737
107	517006.9512
108	516386.0588
109	516009.1266
110	515114.658
111	514119.686
112	513405.6131
113	512807.6744
114	512258.6197
115	511449.3487
116	510834.4861
117	510004.8845
118	509129.8292
119	508258.4178
120	507812.6986
121	507406.9808
122	506418.9018
123	505445.1811
124	505210.1693
125	504455.7342
126	503801.6449
127	503422.3814
128	502812.3523
129	501676.2513
130	500935.6336
131	500051.8776
132	499857.3158
133	499171.6437
134	498681.0316
135	497948.2735
136	496799.4294
137	496392.6626
138	495279.5079
139	494812.3583
140	494436.7086
141	493547.1212
142	493015.4294
143	492265.8493
144	491904.7089
145	491283.7637
146	490561.012
147	489833.4475
148	489030.7453
149	488132.7021
150	487315.0429
151	486666.0929
152	485474.9419
153	484893.3013
154	484284.9007
155	483096.2583
156	482252.7247
157	481722.7005
158	481049.2824
159	480298.6916
160	479520.2225
161	478941.4618
162	478197.4259
163	477513.8324
164	476386.5621
165	475738.2539
166	475214.7005
167	474515.8148
168	473545.6253
169	472707.4916
170	472323.383
171	471696.9607
172	471235.832
173	470785.3749
174	470563.1404
175	469839.4955
176	468919.3361
177	468224.7515
178	467650.6666
179	467264.742
180	466708.8079
181	465983.5197
182	465603.7155
183	464904.1969
184	464299.7264
185	463800.7793
186	463304.8805
187	462532.6592
188	461891.089
189	460948.8692
190	460405.6407
191	459772.7118
192	459279.2059
193	459024.3513
194	458613.6629
195	458042.4135
196	457288.2575
197	456806.2634
198	456266.5803
199	455901.544
200	455236.4615
201	454758.018
202	454352.0444
203	453769.0245
204	453476.8262
205	452823.0404
206	451790.8865
207	451150.6846
208	450748.2735
209	450412.7012
210	450225.9853
