iter	Passed	Remaining
0	2	2424
1	4	2358
2	6	2317
3	9	2261
4	11	2268
5	13	2285
6	15	2265
7	18	2242
8	20	2230
9	22	2208
10	24	2189
11	26	2168
12	28	2160
13	30	2144
14	32	2140
15	34	2133
16	36	2123
17	38	2115
18	40	2108
19	42	2101
20	45	2099
21	47	2101
22	49	2092
23	51	2085
24	53	2073
25	55	2070
26	57	2065
27	59	2060
28	61	2061
29	63	2056
30	65	2051
31	67	2046
32	69	2041
33	71	2039
34	73	2035
35	75	2029
36	77	2028
37	80	2026
38	82	2026
39	84	2023
40	86	2021
41	88	2017
42	90	2011
43	92	2013
44	95	2018
45	97	2025
46	100	2028
47	102	2027
48	104	2027
49	106	2026
50	109	2038
51	111	2039
52	114	2041
53	116	2044
54	119	2045
55	121	2045
56	123	2043
57	125	2040
58	127	2035
59	129	2032
60	131	2028
61	133	2023
62	135	2019
63	137	2017
64	140	2016
65	142	2015
66	144	2012
67	146	2011
68	148	2009
69	150	2005
70	153	2005
71	155	2002
72	157	2000
73	159	1998
74	161	1995
75	164	1994
76	166	1991
77	168	1987
78	170	1984
79	172	1986
80	175	1988
81	177	1987
82	179	1988
83	182	1988
84	186	2007
85	189	2009
86	192	2016
87	194	2016
88	197	2020
89	199	2017
90	201	2014
91	203	2011
92	206	2013
93	208	2010
94	210	2005
95	212	2003
96	214	2000
97	216	1996
98	219	1994
99	221	1991
100	223	1987
101	225	1984
102	227	1980
103	229	1977
104	231	1975
105	233	1972
106	235	1962
107	237	1957
108	239	1956
109	241	1952
110	243	1948
111	245	1944
112	247	1941
113	249	1937
114	251	1934
115	253	1930
116	255	1926
117	257	1923
118	259	1920
119	261	1916
120	263	1913
121	265	1909
122	267	1905
123	269	1901
124	271	1898
125	273	1895
126	275	1892
127	277	1889
128	279	1887
129	281	1884
130	283	1880
131	285	1876
132	287	1873
133	289	1869
134	291	1866
135	293	1863
136	295	1861
137	297	1858
138	299	1854
139	301	1851
140	303	1849
141	305	1846
142	307	1843
143	309	1840
144	311	1836
145	313	1833
146	315	1830
147	317	1827
148	319	1825
149	321	1822
150	323	1820
151	325	1818
152	327	1815
153	329	1812
154	332	1810
155	334	1811
156	336	1808
157	339	1807
158	341	1805
159	343	1804
160	345	1802
161	348	1803
162	351	1803
163	353	1802
164	355	1799
165	357	1797
166	359	1795
167	362	1793
168	364	1791
169	366	1788
170	368	1786
171	370	1784
172	373	1783
173	375	1781
174	377	1779
175	379	1777
176	382	1776
177	384	1776
178	386	1774
179	388	1772
180	391	1769
181	393	1767
182	395	1765
183	397	1762
184	399	1760
185	401	1757
186	403	1754
187	405	1752
188	407	1750
189	410	1748
190	412	1746
191	414	1744
192	416	1742
193	418	1739
194	420	1736
195	422	1734
196	424	1731
197	426	1729
198	428	1725
199	430	1723
200	432	1721
201	435	1719
202	437	1718
203	439	1715
204	441	1713
205	444	1711
206	446	1709
